version,size_test,size_training,succHe_RF,succZi_RF,succG75_RF,succG60_RF,error_RF,recall_RF,precision_RF,fscore_RF,gscore_RF,mcc_RF,auc_RF,aucec_RF,tpr_RF,tnr_RF,tp_RF,fn_RF,tn_RF,fp_RF,trainerror_RF,trainrecall_RF,trainprecision_RF,trainsuccHe_RF
eclipse,997,544,0,0,0,0,0.5697091273821464,0.8106796116504854,0.23994252873563218,0.37028824833702884,0.4702986526503609,0.1251510390544361,0.5709529537392756,0.0,0.8106796116504854,0.33122629582806573,167.0,39.0,262.0,529.0,0.0,1.0,1.0,1
equinox,324,332,0,0,0,0,0.39814814814814814,0.5658914728682171,0.5,0.5309090909090909,0.5942681746905548,0.1884378783400157,0.5957662492546213,0.0,0.5658914728682171,0.6256410256410256,73.0,56.0,122.0,73.0,0.0,1.0,1.0,1
lucene,691,580,0,0,0,0,0.34008683068017365,0.46875,0.12987012987012986,0.20338983050847453,0.5547597343404089,0.09105760885359826,0.5740879186602871,0.0,0.46875,0.6794258373205742,30.0,34.0,426.0,201.0,0.0,1.0,1.0,1
mylyn,1862,384,0,0,0,0,0.42696025778732544,0.5428571428571428,0.16299019607843138,0.25070688030160226,0.5596959613959284,0.08207408753562259,0.5602350030921459,0.0,0.5428571428571428,0.577612863327149,133.0,112.0,934.0,683.0,0.0,1.0,1.0,1
pde,1497,814,0,0,0,0,0.45691382765531063,0.5741626794258373,0.16783216783216784,0.25974025974025977,0.5555165883425687,0.07785587107210079,0.5561030788433534,0.0,0.5741626794258373,0.5380434782608695,120.0,89.0,693.0,595.0,0.0,1.0,1.0,1
