version,size_test,size_training,succHe_SMORBF,succZi_SMORBF,succG75_SMORBF,succG60_SMORBF,error_SMORBF,recall_SMORBF,precision_SMORBF,fscore_SMORBF,gscore_SMORBF,mcc_SMORBF,auc_SMORBF,aucec_SMORBF,tpr_SMORBF,tnr_SMORBF,tp_SMORBF,fn_SMORBF,tn_SMORBF,fp_SMORBF,trainerror_SMORBF,trainrecall_SMORBF,trainprecision_SMORBF,trainsuccHe_SMORBF,succHe_SMORBFLocalEM,succZi_SMORBFLocalEM,succG75_SMORBFLocalEM,succG60_SMORBFLocalEM,error_SMORBFLocalEM,recall_SMORBFLocalEM,precision_SMORBFLocalEM,fscore_SMORBFLocalEM,gscore_SMORBFLocalEM,mcc_SMORBFLocalEM,auc_SMORBFLocalEM,aucec_SMORBFLocalEM,tpr_SMORBFLocalEM,tnr_SMORBFLocalEM,tp_SMORBFLocalEM,fn_SMORBFLocalEM,tn_SMORBFLocalEM,fp_SMORBFLocalEM,trainerror_SMORBFLocalEM,trainrecall_SMORBFLocalEM,trainprecision_SMORBFLocalEM,trainsuccHe_SMORBFLocalEM,succHe_SMORBFLocalFQ,succZi_SMORBFLocalFQ,succG75_SMORBFLocalFQ,succG60_SMORBFLocalFQ,error_SMORBFLocalFQ,recall_SMORBFLocalFQ,precision_SMORBFLocalFQ,fscore_SMORBFLocalFQ,gscore_SMORBFLocalFQ,mcc_SMORBFLocalFQ,auc_SMORBFLocalFQ,aucec_SMORBFLocalFQ,tpr_SMORBFLocalFQ,tnr_SMORBFLocalFQ,tp_SMORBFLocalFQ,fn_SMORBFLocalFQ,tn_SMORBFLocalFQ,fp_SMORBFLocalFQ,trainerror_SMORBFLocalFQ,trainrecall_SMORBFLocalFQ,trainprecision_SMORBFLocalFQ,trainsuccHe_SMORBFLocalFQ
lucene,691,920,0,0,0,0,0.09261939218523878,0.296875,0.5,0.37254901960784315,0.45457943925233646,0.3389923123841969,0.6332859848484849,0.0,0.296875,0.9696969696969697,19.0,45.0,608.0,19.0,0.4489130434782609,0.12608695652173912,0.8405797101449275,0,0,0,0,1,0.3429811866859624,0.734375,0.1760299625468165,0.283987915407855,0.6891222508420844,0.22832216994191534,0.6917489035087719,0.0,0.734375,0.6491228070175439,47.0,17.0,407.0,220.0,0.3630434782608696,0.5804347826086956,0.6544117647058824,0,0,0,0,1,0.2706222865412446,0.671875,0.20574162679425836,0.315018315018315,0.7021340653502169,0.25695193318766,0.7035611044657097,0.0,0.671875,0.7352472089314195,43.0,21.0,461.0,166.0,0.3967391304347826,0.44130434782608696,0.6527331189710611,0
pde,1497,990,0,0,0,0,0.1569806279225117,0.23444976076555024,0.3951612903225806,0.29429429429429427,0.3754362360996624,0.22158483266520007,0.588109973550477,0.0,0.23444976076555024,0.9417701863354038,49.0,160.0,1213.0,75.0,0.4171717171717172,0.21414141414141413,0.8153846153846154,0,0,0,0,0,0.5063460253841016,0.8229665071770335,0.19260918253079506,0.3121597096188748,0.573604792391461,0.1859285967384407,0.6315919492406906,0.0,0.8229665071770335,0.44021739130434784,172.0,37.0,567.0,721.0,0.3464646464646465,0.7353535353535353,0.6319444444444444,1,0,0,0,1,0.385437541750167,0.6507177033492823,0.2125,0.32037691401648993,0.6290056161215726,0.18173685489653268,0.6297066777615977,0.0,0.6507177033492823,0.6086956521739131,136.0,73.0,784.0,504.0,0.36767676767676766,0.6101010101010101,0.638477801268499,0
mylyn,1862,466,0,0,0,0,0.1288936627282492,0.0326530612244898,0.7272727272727273,0.06250000000000001,0.06323738998839278,0.13584943078130565,0.5153988868274583,0.0,0.0326530612244898,0.9981447124304267,8.0,237.0,1614.0,3.0,0.4656652360515021,0.06866952789699571,1.0,0,0,0,0,1,0.41944146079484423,0.6816326530612244,0.19195402298850575,0.29955156950672646,0.618006393113738,0.1672642403428168,0.6234384662956092,0.0,0.6816326530612244,0.5652442795299938,167.0,78.0,914.0,703.0,0.3283261802575107,0.7467811158798283,0.6492537313432836,1,0,0,0,0,0.4699248120300752,0.46122448979591835,0.13200934579439252,0.2052679382379655,0.4977283665657891,0.0011744923459606103,0.5008658008658009,0.0,0.46122448979591835,0.5405071119356833,113.0,132.0,874.0,743.0,0.34334763948497854,0.7253218884120172,0.6377358490566037,1
eclipse,997,774,0,0,0,1,0.18054162487462388,0.5922330097087378,0.5596330275229358,0.5754716981132075,0.7075503187689843,0.46123656582043343,0.7354338247026623,0.0,0.5922330097087378,0.8786346396965866,122.0,84.0,695.0,96.0,0.43669250645994834,0.1421188630490956,0.9016393442622951,0,0,0,0,0,0.6218655967903711,0.941747572815534,0.24189526184538654,0.38492063492063494,0.3714530844563488,0.17669129745922577,0.5865501454469579,0.0,0.941747572815534,0.23135271807838179,194.0,12.0,183.0,608.0,0.3385012919896641,0.6382428940568475,0.6693766937669376,0,0,0,0,0,0.5215646940822467,0.6019417475728155,0.2206405693950178,0.3229166666666667,0.5125466914907318,0.03936106462614117,0.524106145594246,0.0,0.6019417475728155,0.44627054361567636,124.0,82.0,353.0,438.0,0.3785529715762274,0.5788113695090439,0.632768361581921,0
equinox,324,532,0,0,0,0,0.32407407407407407,0.24806201550387597,0.8,0.378698224852071,0.39416394954385264,0.30808435805767637,0.6035181872391174,0.0,0.24806201550387597,0.958974358974359,32.0,97.0,187.0,8.0,0.39849624060150374,0.22180451127819548,0.921875,0,1,0,0,1,0.26851851851851855,0.7209302325581395,0.6458333333333334,0.6813186813186812,0.7295905859279235,0.4525617798484605,0.729695885509839,0.0,0.7209302325581395,0.7384615384615385,93.0,36.0,144.0,51.0,0.2706766917293233,0.6015037593984962,0.8080808080808081,0,0,0,0,1,0.3055555555555556,0.6666666666666666,0.6056338028169014,0.6346863468634686,0.6889714993804212,0.3743944507377913,0.6897435897435897,0.0,0.6666666666666666,0.7128205128205128,86.0,43.0,139.0,56.0,0.31203007518796994,0.575187969924812,0.7427184466019418,0
