version,size_test,size_training,succHe_SMORBFLocalEM,succZi_SMORBFLocalEM,succG75_SMORBFLocalEM,succG60_SMORBFLocalEM,error_SMORBFLocalEM,recall_SMORBFLocalEM,precision_SMORBFLocalEM,fscore_SMORBFLocalEM,gscore_SMORBFLocalEM,mcc_SMORBFLocalEM,auc_SMORBFLocalEM,aucec_SMORBFLocalEM,tpr_SMORBFLocalEM,tnr_SMORBFLocalEM,tp_SMORBFLocalEM,fn_SMORBFLocalEM,tn_SMORBFLocalEM,fp_SMORBFLocalEM,succHe_SMORBFLocalFQ,succZi_SMORBFLocalFQ,succG75_SMORBFLocalFQ,succG60_SMORBFLocalFQ,error_SMORBFLocalFQ,recall_SMORBFLocalFQ,precision_SMORBFLocalFQ,fscore_SMORBFLocalFQ,gscore_SMORBFLocalFQ,mcc_SMORBFLocalFQ,auc_SMORBFLocalFQ,aucec_SMORBFLocalFQ,tpr_SMORBFLocalFQ,tnr_SMORBFLocalFQ,tp_SMORBFLocalFQ,fn_SMORBFLocalFQ,tn_SMORBFLocalFQ,fp_SMORBFLocalFQ
eclipse,997,1293,0,0,0,0,0.5406218655967904,0.9077669902912622,0.26449787835926447,0.40963855421686746,0.4974600354368003,0.22320178873975408,0.6251856443238865,0.0,0.9077669902912622,0.34260429835651074,187.0,19.0,271.0,520.0,0,0,0,0,0.6218655967903711,0.8980582524271845,0.23596938775510204,0.37373737373737376,0.3821676609983484,0.13907294774441578,0.5703944865170056,0.0,0.8980582524271845,0.2427307206068268,185.0,21.0,192.0,599.0
equinox,324,1448,0,0,0,1,0.3055555555555556,0.6589147286821705,0.6071428571428571,0.6319702602230484,0.6871661613974303,0.37241164038421987,0.6884317233154442,0.0,0.6589147286821705,0.717948717948718,85.0,44.0,140.0,55.0,0,0,0,0,0.4104938271604938,0.3875968992248062,0.4807692307692308,0.42918454935622313,0.5046708901535488,0.1160457019945126,0.5553369111508646,0.0,0.3875968992248062,0.7230769230769231,50.0,79.0,141.0,54.0
lucene,691,1578,0,0,0,1,0.3154848046309696,0.65625,0.17647058823529413,0.2781456953642384,0.6714640750769687,0.20965389210014887,0.6718251594896332,0.0,0.65625,0.6874003189792663,42.0,22.0,431.0,196.0,0,0,0,1,0.19247467438494936,0.515625,0.24444444444444444,0.3316582914572864,0.6382273304967674,0.25806387707921824,0.6764727870813397,0.0,0.515625,0.8373205741626795,33.0,31.0,525.0,102.0
mylyn,1862,1216,0,0,0,1,0.27604726100966703,0.5346938775510204,0.24670433145009416,0.3376288659793814,0.6252137288428055,0.21511512608634817,0.643661100803958,0.0,0.5346938775510204,0.7526283240568955,131.0,114.0,1217.0,400.0,0,0,0,0,0.22717508055853922,0.40408163265306124,0.2632978723404255,0.3188405797101449,0.5432621528595386,0.19600823582114726,0.6163883735312307,0.0,0.40408163265306124,0.8286951144094001,99.0,146.0,1340.0,277.0
pde,1497,1288,0,0,0,1,0.24114896459585838,0.5311004784688995,0.2967914438502674,0.38078902229845624,0.6370505581016425,0.2617163491941741,0.6634539659425243,0.0,0.5311004784688995,0.7958074534161491,111.0,98.0,1025.0,263.0,0,0,0,0,0.47027388109552437,0.5023923444976076,0.14893617021276595,0.22975929978118162,0.5177900742567161,0.02538089161796197,0.5182769175904187,0.0,0.5023923444976076,0.5341614906832298,105.0,104.0,688.0,600.0
