version,size_test,size_training,succHe_SMORBF,succZi_SMORBF,succG75_SMORBF,succG60_SMORBF,error_SMORBF,recall_SMORBF,precision_SMORBF,fscore_SMORBF,gscore_SMORBF,mcc_SMORBF,auc_SMORBF,aucec_SMORBF,tpr_SMORBF,tnr_SMORBF,tp_SMORBF,fn_SMORBF,tn_SMORBF,fp_SMORBF,trainerror_SMORBF,trainrecall_SMORBF,trainprecision_SMORBF,trainsuccHe_SMORBF,trainsuccHe_RBFNetworkLocalEM,succHe_SMORBFLocalEM,succZi_SMORBFLocalEM,succG75_SMORBFLocalEM,succG60_SMORBFLocalEM,error_SMORBFLocalEM,recall_SMORBFLocalEM,precision_SMORBFLocalEM,fscore_SMORBFLocalEM,gscore_SMORBFLocalEM,mcc_SMORBFLocalEM,auc_SMORBFLocalEM,aucec_SMORBFLocalEM,tpr_SMORBFLocalEM,tnr_SMORBFLocalEM,tp_SMORBFLocalEM,fn_SMORBFLocalEM,tn_SMORBFLocalEM,fp_SMORBFLocalEM,trainerror_SMORBFLocalEM,trainrecall_SMORBFLocalEM,trainprecision_SMORBFLocalEM,trainsuccHe_SMORBFLocalEM,succHe_SMORBFLocalFQ,succZi_SMORBFLocalFQ,succG75_SMORBFLocalFQ,succG60_SMORBFLocalFQ,error_SMORBFLocalFQ,recall_SMORBFLocalFQ,precision_SMORBFLocalFQ,fscore_SMORBFLocalFQ,gscore_SMORBFLocalFQ,mcc_SMORBFLocalFQ,auc_SMORBFLocalFQ,aucec_SMORBFLocalFQ,tpr_SMORBFLocalFQ,tnr_SMORBFLocalFQ,tp_SMORBFLocalFQ,fn_SMORBFLocalFQ,tn_SMORBFLocalFQ,fp_SMORBFLocalFQ,trainerror_SMORBFLocalFQ,trainrecall_SMORBFLocalFQ,trainprecision_SMORBFLocalFQ,trainsuccHe_SMORBFLocalFQ
lucene,691,1578,0,0,0,0,0.10998552821997105,0.390625,0.4032258064516129,0.3968253968253968,0.5520726115841676,0.3363839236794696,0.665806917862839,0.0,0.390625,0.9409888357256778,25.0,39.0,590.0,37.0,0.39543726235741444,0.26869455006337134,0.8185328185328186,0,1,0,0,0,1,0.1678726483357453,0.5,0.27586206896551724,0.35555555555555557,0.6339754816112084,0.28390692736242695,0.6830143540669856,0.0,0.5,0.8660287081339713,32.0,32.0,543.0,84.0,0.3231939163498099,0.5031685678073511,0.7708737864077669,0,0,0,0,1,0.3979739507959479,0.6875,0.14715719063545152,0.24242424242424246,0.6369367265935092,0.16430260653310227,0.6404007177033493,0.0,0.6875,0.5933014354066986,44.0,20.0,372.0,255.0,0.38910012674271227,0.6197718631178707,0.6089663760896638,0
pde,1497,1288,0,0,0,0,0.16165664662658652,0.19617224880382775,0.3565217391304348,0.25308641975308643,0.3247535346813078,0.1805358929381797,0.5693594163273797,0.0,0.19617224880382775,0.9425465838509317,41.0,168.0,1214.0,74.0,0.38975155279503104,0.265527950310559,0.855,0,1,0,0,0,1,0.25985303941215765,0.49760765550239233,0.26804123711340205,0.3484087102177554,0.6074441225406355,0.21918096255231173,0.6385553805462272,0.0,0.49760765550239233,0.7795031055900621,104.0,105.0,1004.0,284.0,0.3253105590062112,0.4813664596273292,0.7848101265822784,0,0,0,0,0,0.3694054776219105,0.5358851674641149,0.19718309859154928,0.2882882882882883,0.5857976262321465,0.12988450416165848,0.5909239501916848,0.0,0.5358851674641149,0.6459627329192547,112.0,97.0,832.0,456.0,0.3812111801242236,0.531055900621118,0.6440677966101694,0
mylyn,1862,1216,0,0,0,0,0.1310418904403867,0.0326530612244898,0.5333333333333333,0.06153846153846154,0.0632324134849995,0.10710615601520003,0.5141620284477427,0.0,0.0326530612244898,0.9956709956709957,8.0,237.0,1610.0,7.0,0.3717105263157895,0.4375,0.7074468085106383,0,1,0,0,0,1,0.28678839957035446,0.5755102040816327,0.2469352014010508,0.34558823529411764,0.6451932491923857,0.22695392724709268,0.6547928262213977,0.0,0.5755102040816327,0.7340754483611627,141.0,104.0,1187.0,430.0,0.3157894736842105,0.7648026315789473,0.6586402266288952,1,0,0,0,0,0.18313641245972073,0.2897959183673469,0.29831932773109243,0.2939958592132505,0.43803198335521004,0.18883299373638532,0.5932591218305504,0.0,0.2897959183673469,0.8967223252937538,71.0,174.0,1450.0,167.0,0.3692434210526316,0.6677631578947368,0.6217457886676876,0
eclipse,997,1294,0,0,0,1,0.26178535606820463,0.7135922330097088,0.42120343839541546,0.5297297297297298,0.7287793915264866,0.38895109733247424,0.7291096436856382,0.0,0.7135922330097088,0.7446270543615676,147.0,59.0,589.0,202.0,0.39335394126738793,0.27202472952086554,0.822429906542056,0,0,0,0,0,0,0.6770310932798396,0.9660194174757282,0.2295271049596309,0.3709226467847157,0.2678785424658134,0.14611138145601704,0.5607593926822383,0.0,0.9660194174757282,0.1554993678887484,199.0,7.0,123.0,668.0,0.321483771251932,0.758887171561051,0.6537949400798935,1,0,0,0,0,0.5285857572718154,0.7718446601941747,0.24882629107981222,0.37633136094674563,0.5209682092343351,0.13927105222710645,0.5825089293385539,0.0,0.7718446601941747,0.393173198482933,159.0,47.0,311.0,480.0,0.34698608964451316,0.598145285935085,0.671875,0
equinox,324,1448,0,0,0,0,0.35802469135802467,0.11627906976744186,0.8823529411764706,0.20547945205479454,0.20810869096398535,0.23276474744261758,0.5530113297555158,0.0,0.11627906976744186,0.9897435897435898,15.0,114.0,193.0,2.0,0.406767955801105,0.20718232044198895,0.9090909090909091,0,0,0,0,0,1,0.32407407407407407,0.5581395348837209,0.6,0.5783132530120482,0.641396236705754,0.3162577135611564,0.6559928443649374,0.0,0.5581395348837209,0.7538461538461538,72.0,57.0,147.0,48.0,0.3294198895027624,0.47790055248618785,0.7775280898876404,0,0,0,0,1,0.3117283950617284,0.4806201550387597,0.6458333333333334,0.5511111111111111,0.6075656593322986,0.32832282298757376,0.6531305903398926,0.0,0.4806201550387597,0.8256410256410256,62.0,67.0,161.0,34.0,0.4095303867403315,0.5262430939226519,0.6038034865293186,0
