version,size_test,size_training,succHe_RF,succZi_RF,succG75_RF,succG60_RF,error_RF,recall_RF,precision_RF,fscore_RF,gscore_RF,mcc_RF,auc_RF,aucec_RF,tpr_RF,tnr_RF,tp_RF,fn_RF,tn_RF,fp_RF,trainerror_RF,trainrecall_RF,trainprecision_RF,trainsuccHe_RF,succHe_RFLocalEM,succZi_RFLocalEM,succG75_RFLocalEM,succG60_RFLocalEM,error_RFLocalEM,recall_RFLocalEM,precision_RFLocalEM,fscore_RFLocalEM,gscore_RFLocalEM,mcc_RFLocalEM,auc_RFLocalEM,aucec_RFLocalEM,tpr_RFLocalEM,tnr_RFLocalEM,tp_RFLocalEM,fn_RFLocalEM,tn_RFLocalEM,fp_RFLocalEM,trainerror_RFLocalEM,trainrecall_RFLocalEM,trainprecision_RFLocalEM,trainsuccHe_RFLocalEM,succHe_RFLocalFQ,succZi_RFLocalFQ,succG75_RFLocalFQ,succG60_RFLocalFQ,error_RFLocalFQ,recall_RFLocalFQ,precision_RFLocalFQ,fscore_RFLocalFQ,gscore_RFLocalFQ,mcc_RFLocalFQ,auc_RFLocalFQ,aucec_RFLocalFQ,tpr_RFLocalFQ,tnr_RFLocalFQ,tp_RFLocalFQ,fn_RFLocalFQ,tn_RFLocalFQ,fp_RFLocalFQ,trainerror_RFLocalFQ,trainrecall_RFLocalFQ,trainprecision_RFLocalFQ,trainsuccHe_RFLocalFQ
eclipse,997,1293,0,0,0,0,0.5285857572718154,0.7233009708737864,0.2407108239095315,0.3612121212121212,0.519922819795092,0.10774869459215432,0.5645581971941624,0.0,0.7233009708737864,0.40581542351453853,149.0,57.0,321.0,470.0,0.0,1.0,1.0,1,0,0,0,0,0.5747241725175527,0.8398058252427184,0.2426367461430575,0.37649619151251357,0.4606017533903654,0.14094999647024306,0.578562836768009,0.0,0.8398058252427184,0.3173198482932996,173.0,33.0,251.0,540.0,0.0,1.0,1.0,1,0,0,0,0,0.5416248746238717,0.8349514563106796,0.2536873156342183,0.38914027149321273,0.5033836169273267,0.16947808089901256,0.5976274348557191,0.0,0.8349514563106796,0.36030341340075855,172.0,34.0,285.0,506.0,0.0,1.0,1.0,1
equinox,324,1448,0,0,0,0,0.3487654320987654,0.49612403100775193,0.5714285714285714,0.5311203319502075,0.5984161816620551,0.2572903100990773,0.6249850924269529,0.0,0.49612403100775193,0.7538461538461538,64.0,65.0,147.0,48.0,0.0013812154696132596,1.0,0.9972451790633609,1,0,0,0,1,0.37037037037037035,0.5581395348837209,0.5333333333333333,0.5454545454545454,0.611819235225956,0.23339843079610306,0.6175313059033989,0.0,0.5581395348837209,0.676923076923077,72.0,57.0,132.0,63.0,0.0013812154696132596,1.0,0.9972451790633609,1,0,0,0,1,0.37962962962962965,0.5891472868217055,0.5205479452054794,0.5527272727272727,0.6139925674583939,0.22645398829155064,0.6150864639236733,0.0,0.5891472868217055,0.6410256410256411,76.0,53.0,125.0,70.0,0.3660220994475138,0.7348066298342542,0.6114942528735632,1
lucene,691,1578,0,0,0,0,0.4182344428364689,0.578125,0.12374581939799331,0.20385674931129474,0.5801241435597844,0.09377263601476578,0.5801310805422647,0.0,0.578125,0.5821371610845295,37.0,27.0,365.0,262.0,6.337135614702154E-4,0.9987325728770595,1.0,1,0,0,0,0,0.41678726483357453,0.515625,0.11379310344827587,0.1864406779661017,0.5503594690225598,0.06211236832885594,0.5528683213716108,0.0,0.515625,0.5901116427432217,33.0,31.0,370.0,257.0,6.337135614702154E-4,0.9987325728770595,1.0,1,0,0,0,1,0.39652677279305354,0.65625,0.14285714285714285,0.23463687150837992,0.6258195255691977,0.1491292686417477,0.6271680622009569,0.0,0.65625,0.5980861244019139,42.0,22.0,375.0,252.0,6.337135614702154E-4,0.9987325728770595,1.0,1
mylyn,1862,1216,0,0,0,0,0.40816326530612246,0.5551020408163265,0.17280813214739518,0.26356589147286824,0.5754760371630945,0.10435890322788136,0.576252319109462,0.0,0.5551020408163265,0.5974025974025974,136.0,109.0,966.0,651.0,0.0,1.0,1.0,1,0,0,0,0,0.40225563909774437,0.5836734693877551,0.1810126582278481,0.276328502415459,0.5916639829722254,0.12553967225614768,0.5917748917748917,0.0,0.5836734693877551,0.5998763141620285,143.0,102.0,970.0,647.0,0.0,1.0,1.0,1,0,0,0,0,0.39473684210526316,0.5265306122448979,0.17245989304812834,0.2598187311178248,0.5682681421222106,0.0990993398849001,0.5718614718614718,0.0,0.5265306122448979,0.6171923314780458,129.0,116.0,998.0,619.0,0.0,1.0,1.0,1
pde,1497,1288,0,0,0,0,0.45691382765531063,0.6650717703349283,0.1845949535192563,0.28898128898128894,0.5857241995886189,0.13057027585601083,0.5941818479003834,0.0,0.6650717703349283,0.5232919254658385,139.0,70.0,674.0,614.0,0.0015527950310559005,1.0,0.9969040247678018,1,0,0,0,0,0.4355377421509686,0.6363636363636364,0.18758815232722145,0.289760348583878,0.5916429249762584,0.1313019252443727,0.5945793337097685,0.0,0.6363636363636364,0.5527950310559007,133.0,76.0,712.0,576.0,0.0015527950310559005,1.0,0.9969040247678018,1,0,0,0,0,0.46626586506346024,0.6028708133971292,0.1700404858299595,0.2652631578947368,0.5598243905659444,0.08691831592225534,0.5626931706737198,0.0,0.6028708133971292,0.5225155279503105,126.0,83.0,673.0,615.0,0.31211180124223603,0.6692546583850931,0.6951612903225807,0
