version,size_test,size_training,succHe_RF,succZi_RF,succG75_RF,succG60_RF,error_RF,recall_RF,precision_RF,fscore_RF,gscore_RF,mcc_RF,auc_RF,aucec_RF,tpr_RF,tnr_RF,tp_RF,fn_RF,tn_RF,fp_RF,trainerror_RF,trainrecall_RF,trainprecision_RF,trainsuccHe_RF
ant-1.3.csv,125,614,0,0,0,0,0.456,0.55,0.1864406779661017,0.2784810126582279,0.54640522875817,0.06819098918437251,0.5557142857142857,0.533228998116661,0.55,0.5428571428571428,11.0,9.0,57.0,48.0,0.035830618892508145,0.9348534201954397,0.9930795847750865,1
ant-1.4.csv,178,850,0,0,0,0,0.449438202247191,0.65,0.2826086956521739,0.3939393939393939,0.5788497217068646,0.1434483836895217,0.5744565217391304,0.6580311836885322,0.65,0.5217391304347826,26.0,14.0,72.0,66.0,0.03764705882352941,0.9270588235294117,0.9974683544303797,1
ant-1.5.csv,293,1234,0,0,0,0,0.48464163822525597,0.46875,0.10714285714285714,0.1744186046511628,0.49352848675456634,-0.006354976510495129,0.47150383141762453,0.42886996392753374,0.46875,0.5210727969348659,15.0,17.0,136.0,125.0,0.041329011345218804,0.9222042139384117,0.9947552447552448,1
ant-1.6.csv,351,1520,0,0,0,0,0.48717948717948717,0.6521739130434783,0.3015075376884422,0.41237113402061853,0.5417607223476297,0.10250765573385606,0.5581248950814168,0.5293339854982875,0.6521739130434783,0.46332046332046334,60.0,32.0,120.0,139.0,0.04342105263157895,0.9236842105263158,0.9887323943661972,1
ant-1.7.csv,745,2766,0,0,0,0,0.48456375838926175,0.6204819277108434,0.256857855361596,0.36331569664902996,0.5446402529096845,0.08831480490011484,0.5498158436856233,0.5191067789439303,0.6204819277108434,0.4853195164075993,103.0,63.0,281.0,298.0,0.052422270426608825,0.9052783803326103,0.9889415481832543,1
arc.csv,234,768,0,0,0,0,0.5085470085470085,0.7777777777777778,0.15671641791044777,0.26086956521739135,0.5734204793028322,0.1497564538091602,0.6386652352835928,0.6335954357778106,0.7777777777777778,0.45410628019323673,21.0,6.0,94.0,113.0,0.0546875,0.9088541666666666,0.9803370786516854,1
berek.csv,43,196,1,0,0,1,0.3488372093023256,0.8125,0.52,0.6341463414634146,0.6598984771573604,0.360619323243079,0.6840277777777778,0.624918780940594,0.8125,0.5555555555555556,13.0,3.0,15.0,12.0,0.015306122448979591,0.9693877551020408,1.0,1
camel-1.0.csv,339,1174,0,0,0,1,0.49852507374631266,0.8461538461538461,0.06179775280898876,0.11518324607329843,0.6187864850521847,0.12839645245346465,0.6848749410099103,0.688755922467853,0.8461538461538461,0.48773006134969327,11.0,2.0,159.0,167.0,0.041737649063032366,0.9233390119250426,0.9926739926739927,1
camel-1.2.csv,608,2074,0,0,0,0,0.46381578947368424,0.5925925925925926,0.39751552795031053,0.4758364312267658,0.5453606472714753,0.09367628608518906,0.5552071523053665,0.5851465153277322,0.5925925925925926,0.5051020408163265,128.0,88.0,198.0,194.0,0.05110896817743491,0.90549662487946,0.9915522703273495,1
camel-1.4.csv,872,2532,0,0,0,0,0.45871559633027525,0.5586206896551724,0.19424460431654678,0.28825622775800713,0.5480265093180599,0.07188990193560768,0.5448845041028316,0.5656245429487561,0.5586206896551724,0.5378266850068776,81.0,64.0,391.0,336.0,0.05568720379146919,0.9020537124802528,0.9853321829163072,1
camel-1.6.csv,965,2728,0,0,0,0,0.49637305699481865,0.5531914893617021,0.20841683366733466,0.30276564774381365,0.5205996435685083,0.03552842910785617,0.5223616473616474,0.5424430963276196,0.5531914893617021,0.49163449163449163,104.0,84.0,382.0,395.0,0.05571847507331378,0.9002932551319648,0.9871382636655949,1
ckjm.csv,10,54,1,0,0,0,0.4,0.8,0.5714285714285714,0.6666666666666666,0.5333333333333333,0.2182178902359924,0.58,0.5829816201497617,0.8,0.4,4.0,1.0,2.0,3.0,0.09259259259259259,0.8148148148148148,1.0,1
e-learning.csv,64,158,0,0,0,0,0.65625,0.6,0.06976744186046512,0.125,0.41911764705882354,-0.04456284945418377,0.4542372881355932,0.3875790052212147,0.6,0.3220338983050847,3.0,2.0,19.0,40.0,0.0379746835443038,0.9240506329113924,1.0,1
forrest-0.7.csv,29,106,0,0,0,0,0.5862068965517241,0.6,0.16666666666666666,0.2608695652173913,0.4615384615384615,-0.019462473604038074,0.4875,0.40028397565922913,0.6,0.375,3.0,2.0,9.0,15.0,0.018867924528301886,0.9622641509433962,1.0,1
ivy-1.1.csv,111,610,0,0,0,0,0.43243243243243246,0.5714285714285714,0.631578947368421,0.6,0.5669291338582677,0.13274856101339788,0.5739087301587301,0.6524942479801044,0.5714285714285714,0.5625,36.0,27.0,27.0,21.0,0.04590163934426229,0.9245901639344263,0.9825783972125436,1
ivy-1.4.csv,241,1154,0,0,0,0,0.5394190871369294,0.6875,0.08088235294117647,0.14473684210526316,0.5398773006134969,0.06624883652649474,0.57375,0.5431404547447967,0.6875,0.4444444444444444,11.0,5.0,100.0,125.0,0.04679376083188908,0.9116117850953206,0.994328922495274,1
ivy-2.0.csv,352,1722,0,0,0,1,0.4289772727272727,0.75,0.17543859649122806,0.2843601895734597,0.6333333333333334,0.18927720079158086,0.6402243589743589,0.5583132996843986,0.75,0.5480769230769231,30.0,10.0,171.0,141.0,0.04819976771196283,0.9105691056910569,0.9924050632911392,1
