version,size_test,size_training,succHe_SMORBF,succZi_SMORBF,succG75_SMORBF,succG60_SMORBF,error_SMORBF,recall_SMORBF,precision_SMORBF,fscore_SMORBF,gscore_SMORBF,mcc_SMORBF,auc_SMORBF,aucec_SMORBF,tpr_SMORBF,tnr_SMORBF,tp_SMORBF,fn_SMORBF,tn_SMORBF,fp_SMORBF,succHe_SMORBFLocalEM,succZi_SMORBFLocalEM,succG75_SMORBFLocalEM,succG60_SMORBFLocalEM,error_SMORBFLocalEM,recall_SMORBFLocalEM,precision_SMORBFLocalEM,fscore_SMORBFLocalEM,gscore_SMORBFLocalEM,mcc_SMORBFLocalEM,auc_SMORBFLocalEM,aucec_SMORBFLocalEM,tpr_SMORBFLocalEM,tnr_SMORBFLocalEM,tp_SMORBFLocalEM,fn_SMORBFLocalEM,tn_SMORBFLocalEM,fp_SMORBFLocalEM,succHe_SMORBFLocalFQ,succZi_SMORBFLocalFQ,succG75_SMORBFLocalFQ,succG60_SMORBFLocalFQ,error_SMORBFLocalFQ,recall_SMORBFLocalFQ,precision_SMORBFLocalFQ,fscore_SMORBFLocalFQ,gscore_SMORBFLocalFQ,mcc_SMORBFLocalFQ,auc_SMORBFLocalFQ,aucec_SMORBFLocalFQ,tpr_SMORBFLocalFQ,tnr_SMORBFLocalFQ,tp_SMORBFLocalFQ,fn_SMORBFLocalFQ,tn_SMORBFLocalFQ,fp_SMORBFLocalFQ
ivy-2.0.csv,352,9636,0,0,0,0,0.53125,0.85,0.15813953488372093,0.26666666666666666,0.5620898536092882,0.17566501479846655,0.6349358974358974,0.48935472661190177,0.85,0.4198717948717949,34.0,6.0,131.0,181.0,0,0,0,1,0.24431818181818182,0.7,0.27450980392156865,0.3943661971830986,0.7300613496932514,0.32377983817689177,0.7314102564102564,0.5021340108694422,0.7,0.7628205128205128,28.0,12.0,238.0,74.0,0,0,0,1,0.3380681818181818,0.65,0.1984732824427481,0.304093567251462,0.656661786237189,0.2058068230860618,0.6567307692307692,0.49137935945493333,0.65,0.6634615384615384,26.0,14.0,207.0,105.0
jedit-3.2.csv,272,9290,0,0,0,0,0.4227941176470588,0.8222222222222222,0.4277456647398844,0.5627376425855513,0.5866844970866368,0.27213018898702745,0.6391330891330891,0.6702145011797955,0.8222222222222222,0.45604395604395603,74.0,16.0,83.0,99.0,0,0,0,0,0.4007352941176471,0.5111111111111111,0.4144144144144144,0.4577114427860697,0.5694635488308115,0.14740550606767186,0.5769841269841269,0.4888991479783128,0.5111111111111111,0.6428571428571429,46.0,44.0,117.0,65.0,0,0,0,0,0.3786764705882353,0.43333333333333335,0.42857142857142855,0.430939226519337,0.5394190871369295,0.1472106953910753,0.5738095238095238,0.46790422321019837,0.43333333333333335,0.7142857142857143,39.0,51.0,130.0,52.0
jedit-4.0.csv,306,9290,0,0,0,0,0.47058823529411764,0.8,0.31746031746031744,0.45454545454545453,0.5690376569037657,0.21381344338776137,0.6207792207792208,0.6189345064213682,0.8,0.44155844155844154,60.0,15.0,102.0,129.0,0,0,0,1,0.3464052287581699,0.6266666666666667,0.376,0.47,0.6440085975282107,0.25289874595370776,0.6445021645021645,0.5536437780985212,0.6266666666666667,0.6623376623376623,47.0,28.0,153.0,78.0,0,0,0,0,0.4150326797385621,0.56,0.3088235294117647,0.39810426540284366,0.576062471842619,0.13250826977378263,0.5765367965367966,0.5427587365823455,0.56,0.5930735930735931,42.0,33.0,137.0,94.0
jedit-4.1.csv,312,9290,0,0,0,0,0.4519230769230769,0.8860759493670886,0.3465346534653465,0.49822064056939497,0.5821565317633497,0.2908449227125534,0.659776172108437,0.667245720208903,0.8860759493670886,0.4334763948497854,70.0,9.0,101.0,132.0,0,0,0,1,0.36217948717948717,0.6455696202531646,0.375,0.47441860465116287,0.64033934252386,0.2462097293492223,0.6403813766501875,0.5392202315999182,0.6455696202531646,0.6351931330472103,51.0,28.0,148.0,85.0,0,0,0,1,0.3782051282051282,0.6075949367088608,0.35555555555555557,0.4485981308411215,0.6169557179329167,0.20555734481563903,0.6171021893844733,0.555299199851032,0.6075949367088608,0.6266094420600858,48.0,31.0,146.0,87.0
jedit-4.2.csv,367,9290,0,0,0,0,0.55858310626703,0.9791666666666666,0.18725099601593626,0.31438127090301005,0.5269828888997221,0.2463230413745582,0.6698341170323929,0.6654960023357154,0.9791666666666666,0.3605015673981191,47.0,1.0,115.0,204.0,0,0,0,1,0.38419618528610355,0.8333333333333334,0.23121387283236994,0.36199095022624433,0.6860936923644412,0.28126029739974623,0.7082027168234065,0.6251136365855614,0.8333333333333334,0.5830721003134797,40.0,8.0,186.0,133.0,0,0,0,1,0.3405994550408719,0.7083333333333334,0.23448275862068965,0.35233160621761656,0.6790206433029287,0.24854512405007329,0.6801854754440961,0.5764898720630256,0.7083333333333334,0.6520376175548589,34.0,14.0,208.0,111.0
log4j-1.0.csv,135,9354,0,0,0,0,0.5481481481481482,0.9117647058823529,0.30392156862745096,0.4558823529411764,0.44808479884365215,0.21089289784969825,0.6043972044263249,0.5437825694108915,0.9117647058823529,0.297029702970297,31.0,3.0,30.0,71.0,0,0,0,1,0.32592592592592595,0.8235294117647058,0.42424242424242425,0.5599999999999999,0.7098591549295774,0.3884137155130824,0.7236458940011649,0.5888494893989894,0.8235294117647058,0.6237623762376238,28.0,6.0,63.0,38.0,0,0,0,1,0.2962962962962963,0.5882352941176471,0.43478260869565216,0.5,0.6564551422319476,0.3029732368631305,0.6654047757716948,0.5594213461522715,0.5882352941176471,0.7425742574257426,20.0,14.0,75.0,26.0
log4j-1.1.csv,109,9354,0,0,0,0,0.5137614678899083,0.8648648648648649,0.3855421686746988,0.5333333333333334,0.436222005842259,0.17391747620759984,0.5782657657657657,0.49315581003814524,0.8648648648648649,0.2916666666666667,32.0,5.0,21.0,51.0,1,0,0,1,0.27522935779816515,0.7837837837837838,0.5686274509803921,0.6590909090909091,0.7364144235652614,0.4538404831721277,0.7391141141141141,0.5677424339777636,0.7837837837837838,0.6944444444444444,29.0,8.0,50.0,22.0,0,0,0,0,0.44954128440366975,0.8108108108108109,0.4166666666666667,0.5504587155963303,0.5504587155963303,0.22747747747747749,0.6137387387387387,0.5323502858862473,0.8108108108108109,0.4166666666666667,30.0,7.0,30.0,42.0
log4j-1.2.csv,205,9354,0,0,0,0,0.32195121951219513,0.6984126984126984,0.9361702127659575,0.8,0.5379912663755458,0.07867765099951674,0.5679563492063492,0.5419468477780648,0.6984126984126984,0.4375,132.0,57.0,7.0,9.0,0,0,0,0,0.5121951219512195,0.4656084656084656,0.9565217391304348,0.6263345195729537,0.574537540805223,0.11628496510940829,0.6078042328042328,0.46070869906328515,0.4656084656084656,0.75,88.0,101.0,12.0,4.0,0,0,0,0,0.8731707317073171,0.0582010582010582,0.9166666666666666,0.10945273631840795,0.10959814015277317,-0.004912280766168237,0.4978505291005291,0.6724974262614025,0.0582010582010582,0.9375,11.0,178.0,15.0,1.0
lucene-2.0.csv,195,8998,1,0,0,0,0.38974358974358975,0.8241758241758241,0.5555555555555556,0.6637168141592921,0.5591324974584887,0.26726124191242434,0.6236263736263736,0.5920537088020685,0.8241758241758241,0.4230769230769231,75.0,16.0,44.0,60.0,0,0,0,1,0.3230769230769231,0.6373626373626373,0.6590909090909091,0.64804469273743,0.6724110919630267,0.3497892660544677,0.6744505494505495,0.5333414707673544,0.6373626373626373,0.7115384615384616,58.0,33.0,74.0,30.0,0,0,0,1,0.37435897435897436,0.5494505494505495,0.6097560975609756,0.5780346820809249,0.6126616746085772,0.24432758727850912,0.6208791208791209,0.5231912525769749,0.5494505494505495,0.6923076923076923,50.0,41.0,72.0,32.0
lucene-2.2.csv,247,8998,1,0,0,0,0.38866396761133604,0.7430555555555556,0.6445783132530121,0.6903225806451613,0.542490061646598,0.17879895268830281,0.5851200107874865,0.576469288931536,0.7430555555555556,0.42718446601941745,107.0,37.0,44.0,59.0,0,0,0,0,0.4291497975708502,0.4930555555555556,0.6826923076923077,0.5725806451612903,0.5714942793077675,0.1724348452762684,0.5863336030204962,0.4807236528186336,0.4930555555555556,0.6796116504854369,71.0,73.0,70.0,33.0,0,0,0,0,0.4048582995951417,0.6319444444444444,0.6594202898550725,0.6453900709219857,0.5845042151746287,0.17440345212498473,0.587816882416397,0.5816035307853507,0.6319444444444444,0.5436893203883495,91.0,53.0,56.0,47.0
