version,size_test,size_training,succHe_SMORBFLocalEM,succZi_SMORBFLocalEM,succG75_SMORBFLocalEM,succG60_SMORBFLocalEM,error_SMORBFLocalEM,recall_SMORBFLocalEM,precision_SMORBFLocalEM,fscore_SMORBFLocalEM,gscore_SMORBFLocalEM,mcc_SMORBFLocalEM,auc_SMORBFLocalEM,aucec_SMORBFLocalEM,tpr_SMORBFLocalEM,tnr_SMORBFLocalEM,tp_SMORBFLocalEM,fn_SMORBFLocalEM,tn_SMORBFLocalEM,fp_SMORBFLocalEM,succHe_SMORBFLocalFQ,succZi_SMORBFLocalFQ,succG75_SMORBFLocalFQ,succG60_SMORBFLocalFQ,error_SMORBFLocalFQ,recall_SMORBFLocalFQ,precision_SMORBFLocalFQ,fscore_SMORBFLocalFQ,gscore_SMORBFLocalFQ,mcc_SMORBFLocalFQ,auc_SMORBFLocalFQ,aucec_SMORBFLocalFQ,tpr_SMORBFLocalFQ,tnr_SMORBFLocalFQ,tp_SMORBFLocalFQ,fn_SMORBFLocalFQ,tn_SMORBFLocalFQ,fp_SMORBFLocalFQ
velocity-1.4.csv,196,11390,0,0,0,0,0.6377551020408163,0.23129251700680273,0.7391304347826086,0.35233160621761656,0.35411681914144966,-0.013900960937138319,0.4931972789115646,0.3709592358978671,0.23129251700680273,0.7551020408163265,34.0,113.0,37.0,12.0,0,0,0,0,0.5612244897959183,0.4421768707482993,0.6989247311827957,0.5416666666666666,0.43526785714285715,-0.11208122964699725,0.43537414965986393,0.49579185801909575,0.4421768707482993,0.42857142857142855,65.0,82.0,21.0,28.0
velocity-1.5.csv,214,11390,0,0,0,0,0.5233644859813084,0.2746478873239437,0.8125,0.4105263157894737,0.41807044410413474,0.16951430277734258,0.5748239436619719,0.3842922800914176,0.2746478873239437,0.875,39.0,103.0,63.0,9.0,0,0,0,0,0.40186915887850466,0.6056338028169014,0.7413793103448276,0.6666666666666667,0.5942744323790721,0.17920687603889862,0.5944835680751174,0.5581971534140766,0.6056338028169014,0.5833333333333334,86.0,56.0,42.0,30.0
velocity-1.6.csv,229,11390,0,0,0,0,0.31877729257641924,0.4358974358974359,0.5396825396825397,0.48226950354609927,0.5662798634812287,0.25877620634823995,0.6219222278824927,0.471095378930572,0.4358974358974359,0.8079470198675497,34.0,44.0,122.0,29.0,0,0,0,0,0.5414847161572053,0.8717948717948718,0.37362637362637363,0.5230769230769231,0.3825452333890832,0.1370875566505182,0.5584139921888266,0.7372759580978909,0.8717948717948718,0.24503311258278146,68.0,10.0,37.0,114.0
workflow.csv,39,12084,0,0,0,0,0.38461538461538464,0.3,0.8571428571428571,0.4444444444444444,0.4556962025316455,0.3221899920504105,0.6236842105263158,0.4692606060606061,0.3,0.9473684210526315,6.0,14.0,18.0,1.0,0,0,0,0,0.46153846153846156,0.65,0.5416666666666666,0.5909090909090908,0.5110565110565112,0.07299963950884314,0.5355263157894737,0.4757575757575757,0.65,0.42105263157894735,13.0,7.0,8.0,11.0
wspomaganiepi.csv,18,12100,0,0,0,0,0.5,0.4166666666666667,0.7142857142857143,0.5263157894736842,0.5128205128205129,0.08058229640253803,0.5416666666666666,0.49406332453825863,0.4166666666666667,0.6666666666666666,5.0,7.0,4.0,2.0,0,0,0,0,0.7777777777777778,0.08333333333333333,0.25,0.125,0.14285714285714285,-0.472455591261534,0.2916666666666667,0.6651421870419232,0.08333333333333333,0.5,1.0,11.0,3.0,3.0
xalan-2.4.csv,723,8512,0,0,0,1,0.44951590594744123,0.8272727272727273,0.22921914357682618,0.3589743589743589,0.6239210300045783,0.23681727859814475,0.6640441939789411,0.5650796779279855,0.8272727272727273,0.5008156606851549,91.0,19.0,307.0,306.0,0,0,0,1,0.45643153526970953,0.8363636363636363,0.22772277227722773,0.357976653696498,0.618774160391482,0.23681422246799755,0.6636956844134658,0.5902159882518682,0.8363636363636363,0.4910277324632953,92.0,18.0,301.0,312.0
xalan-2.5.csv,803,8512,0,0,0,0,0.42839352428393523,0.6304909560723514,0.5483146067415731,0.5865384615384616,0.5680286288161379,0.14809353059189342,0.5736589395746372,0.5162035151137284,0.6304909560723514,0.5168269230769231,244.0,143.0,215.0,201.0,0,0,0,0,0.49564134495641343,0.3695090439276486,0.48148148148148145,0.41812865497076024,0.4657575117166619,-7.071915360990524E-4,0.49965836811767045,0.6406581086654596,0.3695090439276486,0.6298076923076923,143.0,244.0,262.0,154.0
xalan-2.6.csv,885,8512,1,0,0,1,0.34011299435028247,0.7566909975669099,0.607421875,0.6738894907908993,0.6540634858271993,0.3359662357618478,0.6663201823277588,0.5796278654646584,0.7566909975669099,0.5759493670886076,311.0,100.0,273.0,201.0,0,0,0,0,0.4,0.48905109489051096,0.5826086956521739,0.5317460317460317,0.5745244777050202,0.189439427614125,0.5926268132680402,0.5996650816010292,0.48905109489051096,0.6962025316455697,201.0,210.0,330.0,144.0
xalan-2.7.csv,909,8512,0,0,1,1,0.36523652365236525,0.6302895322939867,1.0,0.7732240437158471,0.7732240437158471,0.14217372093632505,0.8151447661469933,0.5354453936324426,0.6302895322939867,1.0,566.0,332.0,11.0,0.0,0,0,0,0,0.5984598459845984,0.39643652561247217,0.994413407821229,0.5668789808917197,0.534089014835806,0.04802684273858523,0.6073091718971452,0.5113996667570839,0.39643652561247217,0.8181818181818182,356.0,542.0,9.0,2.0
xerces-1.2.csv,440,10816,0,0,0,0,0.40454545454545454,0.30985915492957744,0.1456953642384106,0.19819819819819817,0.41974719771046975,-0.030787255583498055,0.48013282949730907,0.31111492191497825,0.30985915492957744,0.6504065040650406,22.0,49.0,240.0,129.0,0,0,0,0,0.3977272727272727,0.38028169014084506,0.17088607594936708,0.23580786026200876,0.47846319943412385,0.019375928998424028,0.5126340700026718,0.5041418465709044,0.38028169014084506,0.6449864498644986,27.0,44.0,238.0,131.0
xerces-1.3.csv,453,10816,0,0,0,1,0.33774834437086093,0.5652173913043478,0.24074074074074073,0.33766233766233766,0.6171896316507504,0.18360462413851875,0.622452445652174,0.48501837234828243,0.5652173913043478,0.6796875,39.0,30.0,261.0,123.0,0,0,0,1,0.3509933774834437,0.5507246376811594,0.2289156626506024,0.3234042553191489,0.6031746031746031,0.16212027564661102,0.6086956521739131,0.5778752085401387,0.5507246376811594,0.6666666666666666,38.0,31.0,256.0,128.0
