version,size_test,size_training,succHe_SMORBF,succZi_SMORBF,succG75_SMORBF,succG60_SMORBF,error_SMORBF,recall_SMORBF,precision_SMORBF,fscore_SMORBF,gscore_SMORBF,mcc_SMORBF,auc_SMORBF,aucec_SMORBF,tpr_SMORBF,tnr_SMORBF,tp_SMORBF,fn_SMORBF,tn_SMORBF,fp_SMORBF,succHe_SMORBFLocalEM,succZi_SMORBFLocalEM,succG75_SMORBFLocalEM,succG60_SMORBFLocalEM,error_SMORBFLocalEM,recall_SMORBFLocalEM,precision_SMORBFLocalEM,fscore_SMORBFLocalEM,gscore_SMORBFLocalEM,mcc_SMORBFLocalEM,auc_SMORBFLocalEM,aucec_SMORBFLocalEM,tpr_SMORBFLocalEM,tnr_SMORBFLocalEM,tp_SMORBFLocalEM,fn_SMORBFLocalEM,tn_SMORBFLocalEM,fp_SMORBFLocalEM,succHe_SMORBFLocalFQ,succZi_SMORBFLocalFQ,succG75_SMORBFLocalFQ,succG60_SMORBFLocalFQ,error_SMORBFLocalFQ,recall_SMORBFLocalFQ,precision_SMORBFLocalFQ,fscore_SMORBFLocalFQ,gscore_SMORBFLocalFQ,mcc_SMORBFLocalFQ,auc_SMORBFLocalFQ,aucec_SMORBFLocalFQ,tpr_SMORBFLocalFQ,tnr_SMORBFLocalFQ,tp_SMORBFLocalFQ,fn_SMORBFLocalFQ,tn_SMORBFLocalFQ,fp_SMORBFLocalFQ
ant-1.3.csv,125,609,0,0,0,1,0.168,0.5,0.47619047619047616,0.4878048780487805,0.6416382252559728,0.38756283848736367,0.6976190476190476,0.562514920820181,0.5,0.8952380952380953,10.0,10.0,94.0,11.0,0,0,0,0,0.416,0.5,0.19230769230769232,0.2777777777777778,0.5454545454545454,0.07437835097515223,0.55,0.5795206769410329,0.5,0.6,10.0,10.0,63.0,42.0,0,0,0,0,0.56,0.6,0.16216216216216217,0.25531914893617025,0.4867924528301886,0.007104269047969174,0.5047619047619047,0.565850553065068,0.6,0.4095238095238095,12.0,8.0,43.0,62.0
ant-1.4.csv,178,840,0,0,0,0,0.4438202247191011,0.325,0.2,0.24761904761904763,0.4272067252579289,-0.04491595046451275,0.4740942028985507,0.5179532244672016,0.325,0.6231884057971014,13.0,27.0,86.0,52.0,0,0,0,0,0.48314606741573035,0.3,0.17142857142857143,0.21818181818181817,0.3953871499176277,-0.10278687031945397,0.4398550724637681,0.6166076206292089,0.3,0.5797101449275363,12.0,28.0,80.0,58.0,0,0,0,0,0.5561797752808989,0.725,0.24786324786324787,0.3694267515923567,0.4831722759080308,0.07679264934440909,0.543659420289855,0.6502297259894819,0.725,0.36231884057971014,29.0,11.0,50.0,88.0
ant-1.5.csv,293,1208,0,0,0,0,0.5426621160409556,0.90625,0.15675675675675677,0.2672811059907834,0.5572330496843262,0.19949013938604582,0.6542744252873564,0.5625082570335573,0.90625,0.40229885057471265,29.0,3.0,105.0,156.0,0,0,0,1,0.4061433447098976,0.8125,0.18705035971223022,0.304093567251462,0.6679395938205174,0.23708073165382496,0.6897749042145593,0.5608166421588342,0.8125,0.5670498084291188,26.0,6.0,148.0,113.0,0,0,0,1,0.4129692832764505,0.8125,0.18439716312056736,0.3005780346820809,0.6625938209111538,0.23215329830648937,0.6859434865900383,0.5930474341447729,0.8125,0.5593869731800766,26.0,6.0,146.0,115.0
ant-1.6.csv,351,1442,0,0,0,1,0.39316239316239315,0.9347826086956522,0.3944954128440367,0.5548387096774194,0.6432652099652512,0.3853998864476452,0.7125650495215713,0.6347791149548225,0.9347826086956522,0.49034749034749037,86.0,6.0,127.0,132.0,0,0,0,1,0.32193732193732194,0.7934782608695652,0.437125748502994,0.5637065637065637,0.7067210373456158,0.3791351821732385,0.7152719489676012,0.5827026043342345,0.7934782608695652,0.637065637065637,73.0,19.0,165.0,94.0,0,0,0,1,0.4131054131054131,0.7065217391304348,0.3551912568306011,0.4727272727272728,0.6149562183379743,0.2209045046255502,0.6254616417659896,0.5674171042801011,0.7065217391304348,0.5444015444015444,65.0,27.0,141.0,118.0
ant-1.7.csv,745,2533,0,0,0,1,0.4228187919463087,0.8373493975903614,0.3255269320843091,0.4688026981450253,0.628153462694216,0.2860014199754815,0.6699700355827455,0.5284799533715937,0.8373493975903614,0.5025906735751295,139.0,27.0,291.0,288.0,0,0,0,1,0.28456375838926173,0.7108433734939759,0.41843971631205673,0.5267857142857143,0.7137859662420195,0.36687009506909773,0.7137981979732401,0.5334127411285667,0.7108433734939759,0.7167530224525043,118.0,48.0,415.0,164.0,0,0,0,1,0.34496644295302015,0.5963855421686747,0.34256055363321797,0.4351648351648351,0.631871692850404,0.22907362597861058,0.6341167779928002,0.5217598839232647,0.5963855421686747,0.6718480138169257,99.0,67.0,389.0,190.0
arc.csv,234,724,0,0,0,0,0.46153846153846156,0.5925925925925926,0.1415929203539823,0.2285714285714286,0.5603311047437121,0.07927463897916148,0.5619967793880838,0.38970781131460086,0.5925925925925926,0.5314009661835749,16.0,11.0,110.0,97.0,0,0,0,0,0.4188034188034188,0.5555555555555556,0.1485148514851485,0.23437499999999997,0.5696798493408664,0.09036665356079666,0.5700483091787439,0.36299652342023603,0.5555555555555556,0.5845410628019324,15.0,12.0,121.0,86.0,0,0,0,0,0.717948717948718,0.9259259259259259,0.13089005235602094,0.22935779816513763,0.3263291945240369,0.10228578166765394,0.5619967793880838,0.69454193520941,0.9259259259259259,0.19806763285024154,25.0,2.0,41.0,166.0
camel-1.2.csv,608,1860,0,0,0,0,0.5131578947368421,0.5370370370370371,0.35365853658536583,0.42647058823529416,0.4950682852807284,-0.003628809181422322,0.4981103552532124,0.4286463622682749,0.5370370370370371,0.45918367346938777,116.0,100.0,180.0,212.0,0,0,0,0,0.4407894736842105,0.4444444444444444,0.39344262295081966,0.4173913043478261,0.5185972369819342,0.06531421787159288,0.5334467120181405,0.4482793100481867,0.4444444444444444,0.6224489795918368,96.0,120.0,244.0,148.0,0,0,0,0,0.4819078947368421,0.5092592592592593,0.37037037037037035,0.42884990253411304,0.5160183066361557,0.030847220489806395,0.5161092214663643,0.48082469441176634,0.5092592592592593,0.5229591836734694,110.0,106.0,205.0,187.0
camel-1.4.csv,872,2208,0,0,0,0,0.49655963302752293,0.7310344827586207,0.212,0.32868217054263565,0.5632045441853415,0.14234532221880047,0.5945406251482237,0.527100607526582,0.7310344827586207,0.4580467675378267,106.0,39.0,333.0,394.0,0,0,0,0,0.29357798165137616,0.4896551724137931,0.28063241106719367,0.3567839195979899,0.5923822354219929,0.19634001306361276,0.6196556467295926,0.5184674016988249,0.4896551724137931,0.749656121045392,71.0,74.0,545.0,182.0,0,0,0,0,0.42660550458715596,0.5103448275862069,0.19733333333333333,0.2846153846153846,0.5455489408832895,0.07243514793264334,0.5481572831191007,0.4955966276649615,0.5103448275862069,0.5859697386519945,74.0,71.0,426.0,301.0
camel-1.6.csv,965,2366,0,0,0,0,0.5005181347150259,0.6968085106382979,0.23518850987432674,0.3516778523489933,0.5481269557443004,0.11909474713575513,0.5742729811878748,0.5210097796497078,0.6968085106382979,0.4517374517374517,131.0,57.0,351.0,426.0,0,0,0,0,0.2932642487046632,0.3882978723404255,0.3029045643153527,0.3403263403263403,0.5193180424383662,0.15745128403825048,0.5860408280621047,0.47299229239769314,0.3882978723404255,0.7837837837837838,73.0,115.0,609.0,168.0,0,0,0,0,0.41139896373056994,0.44148936170212766,0.22133333333333333,0.29484902309058614,0.5171804639271284,0.05337205259865906,0.532842492948876,0.5406200804165173,0.44148936170212766,0.6241956241956242,83.0,105.0,485.0,292.0
ivy-1.1.csv,111,618,0,0,0,0,0.5225225225225225,0.1111111111111111,0.7777777777777778,0.19444444444444445,0.19913419913419914,0.12603961291292087,0.5347222222222222,0.41228780339142324,0.1111111111111111,0.9583333333333334,7.0,56.0,46.0,2.0,0,0,0,1,0.36936936936936937,0.6031746031746031,0.7037037037037037,0.6495726495726495,0.6333333333333334,0.2674637673751424,0.6349206349206349,0.5349721646438628,0.6031746031746031,0.6666666666666666,38.0,25.0,32.0,16.0,0,0,0,0,0.4864864864864865,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.49557522123893805,0.008928571428571428,0.5044642857142857,0.6065845215412852,0.5714285714285714,0.4375,36.0,27.0,21.0,27.0
